reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-M32/79-7900067/2024,25,L,ADITA,,,YS-M32/81-7900067/2025,ADITA,35051,,,,,,,81,A,,M32,cic
YS-M32/79-7900019/2024,25,L,ADITA,,,YS-M32/81-7900019/2025,ADITA,35051,,,,,,,81,A,,M32,cic
YS-M32/79-7900074/2024,25,L,ADITA,,,YS-M32/81-7900074/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7900063/2024,25,L,ADITA,,,YS-M32/81-7900063/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7900062/2024,25,L,ADITA,,,YS-M32/81-7900062/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7700002/2024,33,L,ADFAS,,,YS-M32/81-7700002/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700127/2024,33,L,ADFAS,,,YS-M32/81-7700127/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700022/2024,33,L,ADFAS,,,YS-M32/81-7700022/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700244/2024,33,L,ADFAS,,,YS-M32/81-7700244/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700111/2024,33,L,ADFAS,,,YS-M32/81-7700111/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900017/2024,23,L,ADFAS,,,YS-M32/81-7900017/2025,ADFAS,33051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900046/2024,23,L,ADFAS,,,YS-M32/81-7900046/2025,ADFAS,33051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900047/2024,23,L,ADFAS,,,YS-M32/81-7900047/2025,ADFAS,33051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900081/2024,23,L,ADFAS,,,YS-M32/81-7900081/2025,ADFAS,33051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900029/2024,23,L,ADFAS,,,YS-M32/81-7900029/2025,ADFAS,33051,,,,,,,81,A,,M32,cic
YS-M32/79-7900043/2024,23,L,ADFAS,,,YS-M32/81-7900043/2025,ADFAS,33051,,,,,,,81,A,,M32,cic
YS-M32/79-7700079/2024,35,L,ADITA,,,YS-M32/81-7700079/2025,ADITA,45051,,,,,,,81,A,,M32,saheli
YS-M32/79-7700138/2024,35,L,ADITA,,,YS-M32/81-7700138/2025,ADITA,45051,,,,,,,81,A,,M32,saheli
YS-M32/79-7700204/2024,35,L,ADITA,,,YS-M32/81-7700204/2025,ADITA,45051,,,,,,,81,A,,M32,saheli
YS-M32/79-7700102/2024,35,L,ADITA,,,YS-M32/81-7700102/2025,ADITA,45051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900039/2024,25,L,ADITA,,,YS-M32/81-7900039/2025,ADITA,35051,,,,,,,81,A,,M32,cic
YS-M32/79-7900049/2024,25,L,ADITA,,,YS-M32/81-7900049/2025,ADITA,35051,,,,,,,81,A,,M32,cic
YS-M32/79-7700293/2024,35,L,ADITA,,,YS-M32/81-7700293/2025,ADITA,45051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900055/2024,25,L,ADITA,,,YS-M32/81-7900055/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7900073/2024,25,L,ADITA,,,YS-M32/81-7900073/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7900023/2024,25,L,ADITA,,,YS-M32/81-7900023/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7900022/2024,25,L,ADITA,,,YS-M32/81-7900022/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7700003/2024,33,L,ADFAS,,,YS-M32/81-7700003/2025,ADFAS,43051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900065/2024,25,L,ADITA,,,YS-M32/81-7900065/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7900037/2024,23,L,ADFAS,,,YS-M32/81-7900037/2025,ADFAS,33051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900036/2024,23,L,ADFAS,,,YS-M32/81-7900036/2025,ADFAS,33051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900079/2024,23,L,ADFAS,,,YS-M32/81-7900079/2025,ADFAS,33051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900080/2024,23,L,ADFAS,,,YS-M32/81-7900080/2025,ADFAS,33051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900045/2024,22,L,ADDTP,,,YS-M32/81-7900045/2025,ADDTP,32051,,,,,,,81,A,,M32,saheli
