recpnopre,cnt_prefix,receiptno,recptdate,recpttime,amount,coursefees,admnfees,prospectus,batchchang,fine_amt,fine_days,instalment,reg_no,recpt_type,pay_mode,dd_no,dd_dt,draw_bank,remarks,lateral,centre_Id,session,ses_half,FrontLine,USER,Deleted,DD_NO_2
,,1.0,05/04/2025,15:51,500.0,500.0,0.0,,,,,A,YS-M32/82-7800015/2025,A,CASH,,,,,,M32,82,A,,LNG,,0
,,2.0,05/04/2025,15:51,500.0,500.0,0.0,,,,,A,YS-M32/82-7800014/2025,A,CASH,,,,,,M32,82,A,,LNG,,0
,,3.0,05/04/2025,16:56,500.0,500.0,0.0,,,,,A,YS-M32/82-7800042/2025,A,CASH,,,,,,M32,82,A,,LNG,,0
,,4.0,05/04/2025,17:39,500.0,500.0,0.0,,,,,A,YS-M32/82-7800037/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,5.0,05/04/2025,17:43,500.0,500.0,0.0,,,,,A,YS-M32/82-7800025/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,6.0,05/04/2025,17:44,500.0,500.0,0.0,,,,,A,YS-M32/82-7800028/2025,A,On/P,,05-04-2025,INDIAN BANK,,,M32,82,A,,cic,,737859936073
,,7.0,05/04/2025,17:46,500.0,500.0,0.0,,,,,A,YS-M32/82-7800102/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,8.0,05/04/2025,17:47,500.0,500.0,0.0,,,,,A,YS-M32/82-7800030/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,9.0,05/04/2025,17:48,500.0,500.0,0.0,,,,,A,YS-M32/82-7800095/2025,A,On/P,,05-04-2025,PUNJAB NATIONAL BANK,,,M32,82,A,,cic,,548829266535
,,10.0,07/04/2025,13:39,500.0,500.0,0.0,,,,,A,YS-M32/82-8000059/2025,A,On/P,,07-04-2025,HDFC BANK,,,M32,82,A,,toyeba,,509756153505
,,11.0,07/04/2025,13:41,500.0,500.0,0.0,,,,,A,YS-M32/82-8000034/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,12.0,07/04/2025,13:41,500.0,500.0,0.0,,,,,A,YS-M32/82-8000035/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,13.0,07/04/2025,13:42,500.0,500.0,0.0,,,,,A,YS-M32/82-8000022/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,14.0,07/04/2025,13:42,500.0,500.0,0.0,,,,,A,YS-M32/82-8000044/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,15.0,07/04/2025,14:03,500.0,500.0,0.0,,,,,A,YS-M32/82-8000079/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,16.0,07/04/2025,16:14,500.0,500.0,0.0,,,,,A,YS-M32/82-8000002/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,17.0,07/04/2025,16:16,500.0,500.0,0.0,,,,,A,YS-M32/82-8000062/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,18.0,07/04/2025,17:53,500.0,500.0,0.0,,,,,A,YS-M32/82-8000030/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,19.0,07/04/2025,17:54,500.0,500.0,0.0,,,,,A,YS-M32/82-8000013/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,20.0,07/04/2025,17:54,500.0,500.0,0.0,,,,,A,YS-M32/82-8000055/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,21.0,07/04/2025,17:55,500.0,500.0,0.0,,,,,A,YS-M32/82-8000018/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,22.0,07/04/2025,18:12,500.0,500.0,0.0,,,,,A,YS-M32/82-8000065/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,23.0,07/04/2025,19:30,500.0,500.0,0.0,,,,,A,YS-M32/82-8000003/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,24.0,08/04/2025,12:19,500.0,500.0,0.0,,,,,A,YS-M32/82-7800109/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,25.0,08/04/2025,12:26,500.0,500.0,0.0,,,,,A,YS-M32/82-7800111/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,26.0,09/04/2025,08:25,500.0,500.0,0.0,,,,,A,YS-M32/82-8000041/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,27.0,09/04/2025,08:28,500.0,500.0,0.0,,,,,A,YS-M32/82-8000040/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,28.0,09/04/2025,09:12,500.0,500.0,0.0,,,,,A,YS-M32/82-8000031/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,29.0,09/04/2025,10:02,500.0,500.0,0.0,,,,,A,YS-M32/82-8000004/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,30.0,09/04/2025,10:05,500.0,500.0,0.0,,,,,A,YS-M32/82-7800018/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,31.0,09/04/2025,15:54,500.0,500.0,0.0,,,,,A,YS-M32/82-7800013/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,32.0,09/04/2025,15:56,500.0,500.0,0.0,,,,,A,YS-M32/82-7800006/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,33.0,09/04/2025,16:02,500.0,500.0,0.0,,,,,A,YS-M32/82-7800035/2025,A,CASH,,,,,,M32,82,A,,LNG,,0
,,34.0,09/04/2025,17:31,500.0,500.0,0.0,,,,,A,YS-M32/82-7800072/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,35.0,09/04/2025,17:32,500.0,500.0,0.0,,,,,A,YS-M32/82-7800038/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,36.0,10/04/2025,14:04,500.0,500.0,0.0,,,,,A,YS-M32/82-8000021/2025,A,On/P,,10-04-2025,UNION BANK OF INDIA,,,M32,82,A,,toyeba,,510074326327
,,37.0,10/04/2025,14:05,500.0,500.0,0.0,,,,,A,YS-M32/82-8000069/2025,A,On/P,,10-04-2025,UNION BANK OF INDIA,,,M32,82,A,,toyeba,,510074326327
,,38.0,10/04/2025,15:12,500.0,500.0,0.0,,,,,A,YS-M32/82-8000057/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,39.0,10/04/2025,15:13,500.0,500.0,0.0,,,,,A,YS-M32/82-8000008/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,40.0,10/04/2025,15:59,500.0,500.0,0.0,,,,,A,YS-M32/82-8000054/2025,A,CASH,,,,,,M32,82,A,,toyeba,,0
,,41.0,10/04/2025,17:36,500.0,500.0,0.0,,,,,A,YS-M32/82-8000045/2025,A,CASH,,,,,,M32,82,A,,cic,,0
,,42.0,10/04/2025,17:37,500.0,500.0,0.0,,,,,A,YS-M32/82-8000029/2025,A,On/P,,10-04-2025,STATE BANK OF INDIA,,,M32,82,A,,cic,,24757120050
,,43.0,11/04/2025,12:22,500.0,500.0,0.0,,,,,A,YS-M32/82-7800069/2025,A,CASH,,,,,,M32,82,A,,saheli,,0
,,44.0,12/04/2025,09:58,500.0,500.0,0.0,,,,,A,YS-M32/82-8000026/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,45.0,12/04/2025,10:02,500.0,500.0,0.0,,,,,A,YS-M32/82-8000011/2025,A,CASH,,,,,,M32,82,A,,RAKHI DAS,,0
,,46.0,12/04/2025,15:28,500.0,500.0,0.0,,,,,A,YS-M32/82-7800020/2025,A,On/P,,12/04/2025,Other Bank,,,M32,82,A,,LNG,,659619989377
,,47.0,12/04/2025,15:48,500.0,500.0,0.0,,,,,A,YS-M32/82-7800012/2025,A,CASH,,,,,,M32,82,A,,LNG,,0
,,48.0,12/04/2025,17:48,500.0,500.0,0.0,,,,,A,YS-M32/82-8000009/2025,A,CASH,,,,,,M32,82,A,,cic,,0
