reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/29-2900001/2011,06/05/2011,1.0,11/07/2011,06/05/2011,2.0,10/08/2011,06/05/2011,2.0,10/09/2011,13/09/2011,1951.0,15/10/2011,15/10/2011,2319.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900002/2011,07/05/2011,3.0,11/07/2011,07/07/2011,755.0,10/08/2011,09/08/2011,1290.0,10/09/2011,10/09/2011,1881.0,15/10/2011,15/10/2011,2323.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900003/2011,07/05/2011,4.0,11/07/2011,19/07/2011,1079.0,10/08/2011,10/08/2011,1339.0,10/09/2011,10/09/2011,1884.0,15/10/2011,15/10/2011,2324.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900004/2011,07/05/2011,5.0,11/07/2011,07/07/2011,751.0,10/08/2011,10/08/2011,1362.0,10/09/2011,09/09/2011,1817.0,15/10/2011,01/10/2011,2121.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900005/2011,07/05/2011,6.0,11/07/2011,07/05/2011,7.0,10/08/2011,06/08/2011,1220.0,10/09/2011,13/09/2011,1957.0,15/10/2011,22/10/2011,2440.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900006/2011,07/05/2011,8.0,11/07/2011,05/07/2011,683.0,10/08/2011,06/08/2011,1219.0,10/09/2011,03/09/2011,1603.0,15/10/2011,13/10/2011,2220.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900007/2011,07/05/2011,9.0,11/07/2011,05/07/2011,661.0,10/08/2011,11/08/2011,1366.0,10/09/2011,06/09/2011,1645.0,15/10/2011,20/10/2011,2406.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700068/2011,09/05/2011,10.0,10/06/2011,07/06/2011,353.0,11/07/2011,09/07/2011,863.0,10/08/2011,06/08/2011,1208.0,10/09/2011,10/09/2011,1866.0,15/10/2011,15/10/2011,2303.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700196/2011,09/05/2011,11.0,10/06/2011,09/06/2011,394.0,11/07/2011,02/07/2011,632.0,10/08/2011,02/08/2011,1126.0,10/09/2011,06/09/2011,1676.0,15/10/2011,01/10/2011,2113.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700162/2011,09/05/2011,12.0,10/06/2011,09/06/2011,393.0,11/07/2011,11/07/2011,949.0,10/08/2011,09/08/2011,1280.0,10/09/2011,08/09/2011,1750.0,15/10/2011,01/10/2011,2110.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
