reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,EXAM_APPEAR,Remarks
YS-N24/53-5100100/2017,32,,,,,,,49.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100100/2017,53,WB1002122142,19/11/2018,,,,,PASS
YS-N24/53-5100089/2017,33,,,,,,,57.0,30.0,,,,,,,,,,,A,N24,YS-N24/51-5100089/2017,53,WB1002096416,26/03/2018,,,,,PASS
YS-N24/53-5100015/2017,35,,,,,,,64.0,27.0,,,,,,,,,,,A+,N24,YS-N24/51-5100015/2017,53,WB1002100722,28/03/2018,,,,,PASS
YS-N24/53-4900093/2017,45,,,,,,,,,,,,64.0,29.0,,,,,,A+,N24,YS-N24/51-4900093/2017,53,WB1002117848,18/06/2018,,,,,PASS
YS-N24/53-4900067/2017,45,,,,,,,,,,,,59.0,28.0,,,,,,A,N24,YS-N24/51-4900067/2017,53,WB1002092712,18/04/2018,,,,,PASS
YS-N24/53-4900097/2017,45,,,,,,,,,,,,60.0,26.0,,,,,,A,N24,YS-N24/51-4900097/2017,53,WB1002117806,07/05/2018,,,,,PASS
YS-N24/53-4900131/2017,45,,,,,,,,,,,,60.0,25.0,,,,,,A,N24,YS-N24/51-4900131/2017,53,WB1002092778,29/06/2018,,,,,PASS
YS-N24/53-4900103/2017,45,,,,,,,,,,,,57.0,25.0,,,,,,A,N24,YS-N24/51-4900103/2017,53,WB1002117814,24/05/2018,,,,,PASS
YS-N24/53-5100123/2017,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100123/2017,53,,,,,,,PASS
YS-N24/53-5100126/2017,33,,,,,,,63.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100126/2017,53,WB1002096842,31/03/2018,,,,,PASS
YS-N24/53-5100024/2017,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100024/2017,53,,,,,,,PASS
YS-N24/53-5100012/2017,35,,,,,,,63.0,29.0,,,,,,,,,,,A+,N24,YS-N24/51-5100012/2017,53,WB1002100370,23/03/2018,,,,,PASS
YS-N24/53-5100011/2017,35,,,,,,,56.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100011/2017,53,WB1002100546,23/03/2018,,,,,PASS
YS-N24/53-5100039/2017,35,,,,,,,59.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100039/2017,53,WB1002100844,19/08/2021,,,,,PASS
YS-N24/53-5100056/2017,35,,,,,,,62.0,29.0,,,,,,,,,,,A+,N24,YS-N24/51-5100056/2017,53,WB1002101004,31/03/2018,,,,,PASS
YS-N24/53-5100077/2017,35,,,,,,,61.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100077/2017,53,WB1002100754,26/03/2018,,,,,PASS
YS-N24/53-5100020/2017,35,,,,,,,59.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100020/2017,53,WB1002100688,26/03/2018,,,,,PASS
YS-N24/53-5100076/2017,35,,,,,,,62.0,29.0,,,,,,,,,,,A+,N24,YS-N24/51-5100076/2017,53,WB1002101076,26/04/2018,,,,,PASS
YS-N24/53-5100075/2017,35,,,,,,,60.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100075/2017,53,WB1002100664,28/03/2018,,,,,PASS
YS-N24/53-5100021/2017,35,,,,,,,60.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100021/2017,53,WB1002100964,,,,,,PASS
YS-N24/53-5100008/2017,35,,,,,,,44.0,29.0,,,,,,,,,,,B+,N24,YS-N24/51-5100008/2017,53,WB1002100862,23/03/2018,,,,,PASS
YS-N24/53-5100093/2017,33,,,,,,,57.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100093/2017,53,WB1002097054,28/05/2018,,,,,PASS
YS-N24/53-4900081/2017,43,,,,,,,,,,,,61.0,26.0,,,,,,A,N24,YS-N24/51-4900081/2017,53,WB1002090082,26/03/2018,,,,,PASS
YS-N24/53-5100029/2017,35,,,,,,,50.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100029/2017,53,WB1002117582,07/04/2018,,,,,PASS
YS-N24/53-5100043/2017,35,,,,,,,67.0,24.0,,,,,,,,,,,A+,N24,YS-N24/51-5100043/2017,53,WB1002101800,06/06/2018,,,,,PASS
YS-N24/53-5100023/2017,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100023/2017,53,,,,,,,PASS
YS-N24/53-4900104/2017,45,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-4900104/2017,53,,,,,,,PASS
YS-N24/53-4900070/2017,43,,,,,,,,,,,,64.0,29.0,,,,,,A+,N24,YS-N24/51-4900070/2017,53,WB1002090014,26/05/2018,,,,,PASS
YS-N24/53-5100372/2017,33,,,,,,,61.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100372/2017,53,WB1002096610,07/05/2018,,,,,PASS
YS-N24/53-5100062/2017,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100062/2017,53,,,,,,,PASS
YS-N24/53-5100090/2017,33,,,,,,,61.0,30.0,,,,,,,,,,,A+,N24,YS-N24/51-5100090/2017,53,WB1002096376,26/03/2018,,,,,PASS
YS-N24/53-5100088/2017,33,,,,,,,60.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100088/2017,53,WB1002096474,26/03/2018,,,,,PASS
YS-N24/53-4900112/2017,45,,,,,,,,,,,,65.0,26.0,,,,,,A+,N24,YS-N24/51-4900112/2017,53,WB1002117826,13/06/2018,,,,,PASS
YS-N24/53-4900091/2017,43,,,,,,,,,,,,55.0,28.0,,,,,,A,N24,YS-N24/51-4900091/2017,53,WB1002090058,07/05/2018,,,,,PASS
YS-N24/53-5100078/2017,35,,,,,,,58.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100078/2017,53,WB1002100826,08/05/2018,,,,,PASS
YS-N24/53-5100032/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100032/2017,53,,,,,,,PASS
YS-N24/53-5100025/2017,35,,,,,,,57.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100025/2017,53,WB1002163012,30/03/2018,,,,,PASS
YS-N24/53-4900082/2017,43,,,,,,,,,,,,58.0,27.0,,,,,,A,N24,YS-N24/51-4900082/2017,53,WB1002090096,27/03/2018,,,,,PASS
YS-N24/53-5100041/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100041/2017,53,,,,,,,PASS
YS-N24/53-5100005/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100005/2017,53,,,,,,,PASS
YS-N24/53-5100087/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100087/2017,53,,,,,,,PASS
YS-N24/53-5100121/2017,37,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100121/2017,53,,,,,,,PASS
YS-N24/53-5100033/2017,37,,,,,,,54.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100033/2017,53,WB1002117780,15/05/2018,,,,,PASS
YS-N24/53-5100007/2017,37,,,,,,,64.0,26.0,,,,,,,,,,,A+,N24,YS-N24/51-5100007/2017,53,WB1002093116,04/04/2018,,,,,PASS
YS-N24/53-5100071/2017,37,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100071/2017,53,,,,,,,PASS
YS-N24/53-5100034/2017,37,,,,,,,54.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100034/2017,53,WB1002117794,15/05/2018,,,,,PASS
YS-N24/53-5100006/2017,37,,,,,,,56.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100006/2017,53,WB1002093136,,,,,,PASS
YS-N24/53-5100094/2017,33,,,,,,,60.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100094/2017,53,WB1002096904,11/04/2018,,,,,PASS
YS-N24/53-5100349/2017,33,,,,,,,54.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100349/2017,53,WB1002096628,09/07/2018,,,,,PASS
YS-N24/53-5100073/2017,35,,,,,,,54.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100073/2017,53,WB1002101874,25/04/2018,,,,,PASS
YS-N24/53-4900149/2017,43,,,,,,,,,,,,60.0,28.0,,,,,,A,N24,YS-N24/51-4900149/2017,53,WB1002090040,07/04/2018,,,,,PASS
YS-N24/53-5100058/2017,35,,,,,,,53.0,23.0,,,,,,,,,,,B+,N24,YS-N24/51-5100058/2017,53,WB1002152670,08/05/2018,,,,,PASS
YS-N24/53-5100049/2017,35,,,,,,,49.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100049/2017,53,WB1002117572,,,,,,PASS
YS-N24/53-4900095/2017,45,,,,,,,,,,,,58.0,26.0,,,,,,A,N24,YS-N24/51-4900095/2017,53,WB1002098782,04/06/2018,,,,,PASS
YS-N24/53-5100057/2017,37,,,,,,,61.0,29.0,,,,,,,,,,,A+,N24,YS-N24/51-5100057/2017,53,WB1002117772,22/05/2018,,,,,PASS
YS-N24/53-5100019/2017,35,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100019/2017,53,WB1002400160,06/08/2018,,,,,PASS
