recpnopre,cnt_prefix,receiptno,recptdate,recpttime,amount,coursefees,admnfees,prospectus,batchchang,fine_amt,fine_days,instalment,reg_no,recpt_type,pay_mode,dd_no,dd_dt,draw_bank,remarks,lateral,centre_Id,session,ses_half,FrontLine,USER,Deleted,DD_NO_2
,,1.0,04/07/2017,16:31,500.0,500.0,0.0,,,,,A,YS-N24/54-5200113/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,2.0,04/07/2017,16:31,500.0,500.0,0.0,,,,,A,YS-N24/54-5200191/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,3.0,04/07/2017,16:32,500.0,500.0,0.0,,,,,A,YS-N24/54-5200104/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,4.0,04/07/2017,16:33,500.0,500.0,0.0,,,,,A,YS-N24/54-5200105/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,5.0,04/07/2017,16:34,500.0,500.0,0.0,,,,,A,YS-N24/54-5200174/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,6.0,04/07/2017,18:17,500.0,500.0,0.0,,,,,A,YS-N24/54-5200242/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,7.0,05/07/2017,09:01,500.0,500.0,0.0,,,,,A,YS-N24/54-5200117/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,8.0,05/07/2017,09:02,500.0,500.0,0.0,,,,,A,YS-N24/54-5200118/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,9.0,05/07/2017,09:42,500.0,500.0,0.0,,,,,A,YS-N24/54-5200205/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,10.0,05/07/2017,09:50,500.0,500.0,0.0,,,,,A,YS-N24/54-5000018/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,11.0,05/07/2017,10:26,500.0,500.0,0.0,,,,,A,YS-N24/54-5200315/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,12.0,05/07/2017,10:39,500.0,500.0,0.0,,,,,A,YS-N24/54-5200230/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,13.0,05/07/2017,10:40,500.0,500.0,0.0,,,,,A,YS-N24/54-5200233/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,14.0,05/07/2017,10:42,500.0,500.0,0.0,,,,,A,YS-N24/54-5200232/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,15.0,05/07/2017,16:00,500.0,500.0,0.0,,,,,A,YS-N24/54-5200332/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,16.0,05/07/2017,18:46,500.0,500.0,0.0,,,,,A,YS-N24/54-5200270/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,17.0,05/07/2017,19:43,500.0,500.0,0.0,,,,,A,YS-N24/54-5000079/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,18.0,06/07/2017,16:07,500.0,500.0,0.0,,,,,A,YS-N24/54-5200137/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,19.0,06/07/2017,16:12,700.0,700.0,0.0,,,,,A,YS-N24/54-5200298/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,20.0,06/07/2017,18:09,700.0,700.0,0.0,,,,,A,YS-N24/54-5200002/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,21.0,06/07/2017,18:19,500.0,500.0,0.0,,,,,A,YS-N24/54-5200187/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,22.0,06/07/2017,18:20,500.0,500.0,0.0,,,,,A,YS-N24/54-5200101/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,23.0,06/07/2017,19:09,500.0,500.0,0.0,,,,,A,YS-N24/54-5200271/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,24.0,06/07/2017,19:09,500.0,500.0,0.0,,,,,A,YS-N24/54-5200272/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,25.0,07/07/2017,08:09,500.0,500.0,0.0,,,,,A,YS-N24/54-5200155/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,26.0,07/07/2017,08:14,500.0,500.0,0.0,,,,,A,YS-N24/54-5200173/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,27.0,07/07/2017,08:16,500.0,500.0,0.0,,,,,A,YS-N24/54-5200183/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,28.0,07/07/2017,08:24,500.0,500.0,0.0,,,,,A,YS-N24/54-5200106/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,29.0,07/07/2017,10:12,500.0,500.0,0.0,,,,,A,YS-N24/54-5200201/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,30.0,07/07/2017,10:13,2500.0,2500.0,,,,0.0,0.0,12345,YS-N24/54-5200201/2017,I,CASH,,,,,,N24,54,A,,saheli,,
,,31.0,07/07/2017,10:15,500.0,500.0,0.0,,,,,A,YS-N24/54-5200010/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,32.0,07/07/2017,10:16,500.0,500.0,0.0,,,,,A,YS-N24/54-5200150/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,33.0,07/07/2017,10:18,500.0,500.0,0.0,,,,,A,YS-N24/54-5200221/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,34.0,07/07/2017,10:20,500.0,500.0,0.0,,,,,A,YS-N24/54-5200114/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,35.0,07/07/2017,15:49,500.0,500.0,0.0,,,,,A,YS-N24/54-5200251/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,36.0,08/07/2017,09:28,500.0,500.0,0.0,,,,,A,YS-N24/54-5200151/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,37.0,08/07/2017,09:34,500.0,500.0,0.0,,,,,A,YS-N24/54-5200136/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,38.0,08/07/2017,09:37,500.0,500.0,0.0,,,,,A,YS-N24/54-5200120/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,39.0,08/07/2017,10:19,500.0,500.0,0.0,,,,,A,YS-N24/54-5200121/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,40.0,08/07/2017,11:52,500.0,500.0,0.0,,,,,A,YS-N24/54-5200231/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,41.0,08/07/2017,11:53,500.0,500.0,0.0,,,,,A,YS-N24/54-5200220/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,42.0,08/07/2017,11:56,500.0,500.0,0.0,,,,,A,YS-N24/54-5200204/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,43.0,08/07/2017,11:58,500.0,500.0,0.0,,,,,A,YS-N24/54-5200235/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,44.0,08/07/2017,11:59,500.0,500.0,0.0,,,,,A,YS-N24/54-5200234/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,45.0,08/07/2017,16:18,500.0,500.0,0.0,,,,,A,YS-N24/54-5200009/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,46.0,08/07/2017,18:42,500.0,500.0,0.0,,,,,A,YS-N24/54-5000004/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,47.0,10/07/2017,10:28,500.0,500.0,0.0,,,,,A,YS-N24/54-5000006/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,48.0,10/07/2017,12:09,500.0,500.0,0.0,,,,,A,YS-N24/54-5200123/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,49.0,10/07/2017,17:25,500.0,500.0,0.0,,,,,A,YS-N24/54-5200092/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,50.0,10/07/2017,17:58,500.0,500.0,0.0,,,,,A,YS-N24/54-5200103/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,51.0,10/07/2017,18:08,700.0,700.0,0.0,,,,,A,YS-N24/54-5200048/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,52.0,10/07/2017,18:16,500.0,500.0,0.0,,,,,A,YS-N24/54-5200152/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,53.0,10/07/2017,18:16,500.0,500.0,0.0,,,,,A,YS-N24/54-5200252/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,54.0,10/07/2017,18:16,500.0,500.0,0.0,,,,,A,YS-N24/54-5200253/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,55.0,10/07/2017,18:17,500.0,500.0,0.0,,,,,A,YS-N24/54-5200097/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,56.0,10/07/2017,18:17,500.0,500.0,0.0,,,,,A,YS-N24/54-5200093/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,57.0,10/07/2017,18:19,500.0,500.0,0.0,,,,,A,YS-N24/54-5200087/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,58.0,10/07/2017,18:20,500.0,500.0,0.0,,,,,A,YS-N24/54-5200331/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,59.0,10/07/2017,18:32,500.0,500.0,0.0,,,,,A,YS-N24/54-5200366/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,60.0,10/07/2017,19:38,500.0,500.0,0.0,,,,,A,YS-N24/54-5200141/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,61.0,10/07/2017,19:39,500.0,500.0,0.0,,,,,A,YS-N24/54-5200046/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,62.0,11/07/2017,08:23,500.0,500.0,0.0,,,,,A,YS-N24/54-5200028/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,63.0,11/07/2017,09:20,500.0,500.0,0.0,,,,,A,YS-N24/54-5200115/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,64.0,11/07/2017,09:45,500.0,500.0,0.0,,,,,A,YS-N24/54-5200100/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,65.0,11/07/2017,09:47,500.0,500.0,0.0,,,,,A,YS-N24/54-5200182/2017,A,CASH,,,,,,N24,54,A,,saheli,,0
,,66.0,11/07/2017,13:04,500.0,500.0,0.0,,,,,A,YS-N24/54-5200015/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,67.0,11/07/2017,13:04,500.0,500.0,0.0,,,,,A,YS-N24/54-5200008/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,68.0,11/07/2017,13:05,500.0,500.0,0.0,,,,,A,YS-N24/54-5200059/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,69.0,11/07/2017,13:05,500.0,500.0,0.0,,,,,A,YS-N24/54-5200068/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
,,70.0,11/07/2017,13:06,500.0,500.0,0.0,,,,,A,YS-N24/54-5200033/2017,A,CASH,,,,,,N24,54,A,,PROMITA,,0
