reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/59-5900531/2019,23,L,ADFAS,,,YS-N24/61-5900531/2019,ADFAS,33051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700096/2019,35,L,ADITA,,,YS-N24/61-5700096/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700054/2019,35,L,ADITA,,,YS-N24/61-5700054/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700099/2019,35,L,ADITA,,,YS-N24/61-5700099/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700075/2019,35,L,ADITA,,,YS-N24/61-5700075/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700052/2019,35,L,ADITA,,,YS-N24/61-5700052/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700007/2019,35,L,ADITA,,,YS-N24/61-5700007/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700049/2019,35,L,ADITA,,,YS-N24/61-5700049/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700041/2019,35,L,ADITA,,,YS-N24/61-5700041/2019,ADITA,45051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900002/2019,25,L,ADITA,,,YS-N24/61-5900002/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900073/2019,23,L,ADFAS,,,YS-N24/61-5900073/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900037/2019,23,L,ADFAS,,,YS-N24/61-5900037/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900493/2019,23,L,ADFAS,,,YS-N24/61-5900493/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900044/2019,23,L,ADFAS,,,YS-N24/61-5900044/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900033/2019,23,L,ADFAS,,,YS-N24/61-5900033/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900020/2019,23,L,ADFAS,,,YS-N24/61-5900020/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700163/2019,35,L,ADITA,,,YS-N24/61-5700163/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700165/2019,35,L,ADITA,,,YS-N24/61-5700165/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900015/2019,25,L,ADITA,,,YS-N24/61-5900015/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900030/2019,25,L,ADITA,,,YS-N24/61-5900030/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900079/2019,25,L,ADITA,,,YS-N24/61-5900079/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900018/2019,25,L,ADITA,,,YS-N24/61-5900018/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900086/2019,25,L,ADITA,,,YS-N24/61-5900086/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900034/2019,25,L,ADITA,,,YS-N24/61-5900034/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900534/2019,23,L,ADFAS,,,YS-N24/61-5900534/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900008/2019,25,L,ADITA,,,YS-N24/61-5900008/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900056/2019,25,L,ADITA,,,YS-N24/61-5900056/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900019/2019,25,L,ADITA,,,YS-N24/61-5900019/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700129/2019,35,L,ADITA,,,YS-N24/61-5700129/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700149/2019,35,L,ADITA,,,YS-N24/61-5700149/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900028/2019,25,L,ADITA,,,YS-N24/61-5900028/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900001/2019,25,L,ADITA,,,YS-N24/61-5900001/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900009/2019,25,L,ADITA,,,YS-N24/61-5900009/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900031/2019,25,L,ADITA,,,YS-N24/61-5900031/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700160/2019,35,L,ADITA,,,YS-N24/61-5700160/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700140/2019,35,L,ADITA,,,YS-N24/61-5700140/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900041/2019,25,L,ADITA,,,YS-N24/61-5900041/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700141/2019,35,L,ADITA,,,YS-N24/61-5700141/2019,ADITA,45052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900200/2019,25,L,ADITA,,,YS-N24/61-5900200/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700115/2019,33,L,ADFAS,,,YS-N24/61-5700115/2019,ADFAS,43051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700082/2019,33,L,ADFAS,,,YS-N24/61-5700082/2019,ADFAS,43051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700181/2019,33,L,ADFAS,,,YS-N24/61-5700181/2019,ADFAS,43051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900074/2019,25,L,ADITA,,,YS-N24/61-5900074/2019,ADITA,35053,,,,,,,61,A,,N24,saheli
YS-N24/59-5900026/2019,25,L,ADITA,,,YS-N24/61-5900026/2019,ADITA,35053,,,,,,,61,A,,N24,saheli
YS-N24/59-5900076/2019,25,L,ADITA,,,YS-N24/61-5900076/2019,ADITA,35053,,,,,,,61,A,,N24,saheli
YS-N24/59-5900084/2019,25,L,ADITA,,,YS-N24/61-5900084/2019,ADITA,35053,,,,,,,61,A,,N24,saheli
YS-N24/59-5900014/2019,25,L,ADITA,,,YS-N24/61-5900014/2019,ADITA,35053,,,,,,,61,A,,N24,saheli
YS-N24/59-5900016/2019,25,L,ADITA,,,YS-N24/61-5900016/2019,ADITA,35053,,,,,,,61,A,,N24,saheli
YS-N24/59-5900021/2019,25,L,ADITA,,,YS-N24/61-5900021/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700176/2019,33,L,ADFAS,,,YS-N24/61-5700176/2019,ADFAS,43051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700164/2019,35,L,ADITA,,,YS-N24/61-5700164/2019,ADITA,45052,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900043/2019,25,L,ADITA,,,YS-N24/61-5900043/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900042/2019,25,L,ADITA,,,YS-N24/61-5900042/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700133/2019,33,L,ADFAS,,,YS-N24/61-5700133/2019,ADFAS,43051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900080/2019,25,L,ADITA,,,YS-N24/61-5900080/2019,ADITA,35053,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900007/2019,25,L,ADITA,,,YS-N24/61-5900007/2019,ADITA,35052,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900035/2019,25,L,ADITA,,,YS-N24/61-5900035/2019,ADITA,35053,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900425/2019,25,L,ADITA,,,YS-N24/61-5900425/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900003/2019,23,L,ADFAS,,,YS-N24/61-5900003/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900011/2019,23,L,ADFAS,,,YS-N24/61-5900011/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900545/2019,23,L,ADFAS,,,YS-N24/61-5900545/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700159/2019,35,L,ADITA,,,YS-N24/61-5700159/2019,ADITA,45052,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700076/2019,33,L,ADFAS,,,YS-N24/61-5700076/2019,ADFAS,43051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700080/2019,33,L,ADFAS,,,YS-N24/61-5700080/2019,ADFAS,43051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700175/2019,33,L,ADFAS,,,YS-N24/61-5700175/2019,ADFAS,43051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700192/2019,33,L,ADFAS,,,YS-N24/61-5700192/2019,ADFAS,43051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700188/2019,33,L,ADFAS,,,YS-N24/61-5700188/2019,ADFAS,43051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900032/2019,23,L,ADFAS,,,YS-N24/61-5900032/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900540/2019,23,L,ADFAS,,,YS-N24/61-5900540/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
